NumEvaluated,QD-Score,MeanNormFitness,MedianNormFitness,MaxNormFitness,CellsOccupied,PercentOccupied
1,40,40.0,40.0,40,1,4.0
2,80,40.0,40.0,40,2,8.0
3,120,40.0,40.0,40,3,12.0
4,120,40.0,40.0,40,3,12.0
5,160,40.0,40.0,40,4,16.0
6,200,40.0,40.0,40,5,20.0
7,240,40.0,40.0,40,6,24.0
8,260,37.142857142857146,40.0,40,7,28.0
9,300,37.5,40.0,40,8,32.0
10,340,37.77777777777778,40.0,40,9,36.0
11,380,38.0,40.0,40,10,40.0
12,380,38.0,40.0,40,10,40.0
13,420,38.18181818181818,40.0,40,11,44.0
14,420,38.18181818181818,40.0,40,11,44.0
15,420,38.18181818181818,40.0,40,11,44.0
16,460,38.333333333333336,40.0,40,12,48.0
17,480,40.0,40.0,40,12,48.0
18,520,40.0,40.0,40,13,52.0
19,540,38.57142857142857,40.0,40,14,56.0
20,540,36.0,40.0,40,15,60.0
21,540,36.0,40.0,40,15,60.0
22,560,35.0,40.0,40,16,64.0
23,560,32.94117647058823,40.0,40,17,68.0
24,600,33.333333333333336,40.0,40,18,72.0
25,600,33.333333333333336,40.0,40,18,72.0
26,640,35.55555555555556,40.0,40,18,72.0
27,640,35.55555555555556,40.0,40,18,72.0
28,660,34.73684210526316,40.0,40,19,76.0
29,660,33.0,40.0,40,20,80.0
30,660,33.0,40.0,40,20,80.0
31,680,32.38095238095238,40.0,40,21,84.0
32,700,31.818181818181817,40.0,40,22,88.0
33,720,31.304347826086957,40.0,40,23,92.0
34,740,32.17391304347826,40.0,40,23,92.0
35,740,32.17391304347826,40.0,40,23,92.0
36,740,32.17391304347826,40.0,40,23,92.0
37,740,32.17391304347826,40.0,40,23,92.0
38,740,32.17391304347826,40.0,40,23,92.0
39,740,32.17391304347826,40.0,40,23,92.0
40,740,32.17391304347826,40.0,40,23,92.0
41,780,32.5,40.0,40,24,96.0
42,800,33.333333333333336,40.0,40,24,96.0
43,820,34.166666666666664,40.0,40,24,96.0
44,860,35.833333333333336,40.0,40,24,96.0
45,900,36.0,40.0,40,25,100.0
46,920,36.8,40.0,40,25,100.0
47,920,36.8,40.0,40,25,100.0
48,920,36.8,40.0,40,25,100.0
49,920,36.8,40.0,40,25,100.0
50,920,36.8,40.0,40,25,100.0
51,920,36.8,40.0,40,25,100.0
52,920,36.8,40.0,40,25,100.0
53,940,37.6,40.0,40,25,100.0
54,940,37.6,40.0,40,25,100.0
55,940,37.6,40.0,40,25,100.0
56,940,37.6,40.0,40,25,100.0
57,940,37.6,40.0,40,25,100.0
58,940,37.6,40.0,40,25,100.0
59,940,37.6,40.0,40,25,100.0
60,960,38.4,40.0,40,25,100.0
61,960,38.4,40.0,40,25,100.0
62,960,38.4,40.0,40,25,100.0
63,980,39.2,40.0,40,25,100.0
64,980,39.2,40.0,40,25,100.0
65,980,39.2,40.0,40,25,100.0
66,980,39.2,40.0,40,25,100.0
67,980,39.2,40.0,40,25,100.0
68,980,39.2,40.0,40,25,100.0
69,980,39.2,40.0,40,25,100.0
70,980,39.2,40.0,40,25,100.0
71,980,39.2,40.0,40,25,100.0
72,980,39.2,40.0,40,25,100.0
73,980,39.2,40.0,40,25,100.0
74,980,39.2,40.0,40,25,100.0
75,980,39.2,40.0,40,25,100.0
76,980,39.2,40.0,40,25,100.0
77,980,39.2,40.0,40,25,100.0
78,980,39.2,40.0,40,25,100.0
79,980,39.2,40.0,40,25,100.0
80,980,39.2,40.0,40,25,100.0
81,980,39.2,40.0,40,25,100.0
82,980,39.2,40.0,40,25,100.0
83,980,39.2,40.0,40,25,100.0
84,980,39.2,40.0,40,25,100.0
85,980,39.2,40.0,40,25,100.0
86,980,39.2,40.0,40,25,100.0
87,980,39.2,40.0,40,25,100.0
88,980,39.2,40.0,40,25,100.0
89,980,39.2,40.0,40,25,100.0
90,980,39.2,40.0,40,25,100.0
91,980,39.2,40.0,40,25,100.0
92,980,39.2,40.0,40,25,100.0
93,980,39.2,40.0,40,25,100.0
94,980,39.2,40.0,40,25,100.0
95,980,39.2,40.0,40,25,100.0
96,980,39.2,40.0,40,25,100.0
97,980,39.2,40.0,40,25,100.0
98,980,39.2,40.0,40,25,100.0
99,980,39.2,40.0,40,25,100.0
100,980,39.2,40.0,40,25,100.0
101,980,39.2,40.0,40,25,100.0
