policy_id,timestep,onion_loc,pot_loc,dish_loc,serving,order_list,num_in_pot,agent_pos,held_obj
0,0,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(4, 3)",3
0,1,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(3, 3)",3
0,2,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(2, 3)",3
0,3,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(2, 4)",3
0,4,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(2, 4)",3
0,5,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(2, 4)",0
0,6,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(2, 5)",0
0,7,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(2, 6)",0
0,8,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(2, 7)",0
0,9,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,1,"(2, 7)",3
0,10,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,1,"(2, 6)",3
0,11,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,1,"(2, 5)",3
0,12,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,1,"(2, 4)",3
0,13,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,1,"(2, 4)",3
0,14,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,1,"(2, 4)",0
0,15,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,1,"(2, 3)",0
0,16,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,1,"(2, 4)",0
0,17,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,1,"(2, 5)",0
0,18,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,1,"(2, 6)",0
0,19,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,1,"(2, 7)",0
0,20,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,2,"(2, 7)",3
0,21,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,2,"(2, 6)",3
0,22,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,2,"(2, 5)",3
0,23,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,2,"(2, 4)",3
0,24,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,2,"(2, 4)",3
0,25,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,2,"(2, 4)",0
0,26,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,2,"(2, 3)",0
0,27,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,2,"(2, 4)",0
0,28,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,2,"(2, 5)",0
0,29,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,2,"(2, 6)",0
0,30,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,2,"(2, 7)",0
0,31,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,3,"(2, 7)",3
0,32,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,3,"(2, 6)",3
0,33,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,3,"(3, 6)",3
0,34,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,3,"(3, 5)",3
0,35,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,3,"(3, 5)",2
0,36,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,3,"(3, 6)",2
0,37,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,3,"(2, 6)",2
0,38,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,3,"(2, 7)",2
0,39,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,3,"(2, 7)",2
0,40,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,3,"(3, 7)",2
0,41,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,3,"(2, 7)",2
0,42,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,3,"(2, 7)",2
0,43,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(2, 7)",1
0,44,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(2, 6)",1
0,45,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(2, 5)",1
0,46,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(2, 4)",1
0,47,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(2, 3)",1
0,48,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(2, 2)",1
0,49,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(3, 2)",1
0,50,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(4, 2)",1
0,51,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(5, 2)",1
0,52,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(6, 2)",1
0,53,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(7, 2)",1
0,54,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(8, 2)",1
0,55,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(9, 2)",1
0,56,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(10, 2)",1
0,57,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(11, 2)",1
0,58,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",2,0,"(12, 2)",1
0,59,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",1,0,"(12, 2)",3
0,60,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",1,0,"(11, 2)",3
0,61,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",1,0,"(12, 2)",3
0,62,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",1,0,"(12, 3)",3
0,63,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",1,0,"(12, 4)",3
0,64,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",1,0,"(12, 5)",3
0,65,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",1,0,"(12, 5)",3
0,66,"[1, 4]","[2, 8]","[3, 4]","[13, 2]",1,0,"(12, 5)",0
